,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
74,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-07,AU,,408.64,407.86,405.54,407.62,401.7,404.56,403.76,3310.0,1336451340.0,4216.0,-4.08,-4.88,-0.00998434,0,0
75,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-08,AU,,403.76,404.56,403.5,404.08,400.2,400.76,401.74,4924.0,1978195620.0,5951.0,-3.0,-2.02,-0.00743016,0,0
76,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-11,AU,,401.74,400.76,396.84,396.98,383.24,389.84,388.96,2973.0,1156382960.0,6319.0,-11.9,-12.78,-0.02962115,0,0
77,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-12,AU,,388.96,389.84,389.22,392.6,386.96,392.34,390.66,3559.0,1390406420.0,6660.0,3.38,1.7,0.00868984,0,0
78,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-13,AU,,390.66,392.34,392.42,393.32,388.62,391.96,391.22,6730.0,2632948860.0,7107.0,1.3,0.56,0.0033277,0,0
79,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-14,AU,,391.22,391.96,391.74,393.0,387.12,389.14,390.18,3463.0,1351234240.0,7463.0,-2.08,-1.04,-0.0053167,0,0
80,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-15,AU,,390.18,389.14,389.14,392.6,388.52,390.7,390.48,5977.0,2333901640.0,8491.0,0.52,0.3,0.00133272,0,0
81,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-18,AU,,390.48,390.7,390.32,391.5,384.54,389.64,388.62,7506.0,2917043540.0,8528.0,-0.84,-1.86,-0.0021512,0,0
82,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-19,AU,,388.62,389.64,389.4,391.08,388.8,390.3,389.92,3482.0,1357740900.0,9044.0,1.68,1.3,0.00432299,0,0
83,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-20,AU,,389.92,390.3,389.3,392.1,388.14,391.66,390.28,5077.0,1981528900.0,9990.0,1.74,0.36,0.00446245,0,0
84,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-21,AU,,390.28,391.66,389.419,395.56,387.64,395.42,392.28,3820.0,1498553360.0,10781.0,5.14,2.0,0.01317003,0,0
85,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-22,AU,,392.28,395.42,393.5,394.6,392.32,393.62,393.28,4291.0,1687608540.0,11972.0,1.34,1.0,0.00341593,0,0
86,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-25,AU,,393.28,393.62,390.32,394.4,389.38,391.78,391.82,2862.0,1121444320.0,12745.0,-1.5,-1.46,-0.00381408,0,0
87,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-26,AU,,391.82,391.78,393.84,395.28,391.02,392.9,393.08,3822.0,1502359120.0,13478.0,1.08,1.26,0.00275637,0,0
88,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-27,AU,,393.08,392.9,392.64,393.08,388.96,391.02,390.28,3542.0,1382402740.0,13799.0,-2.06,-2.8,-0.00524066,0,0
89,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-28,AU,,390.28,391.02,389.12,396.04,388.36,389.02,389.52,4370.0,1702258020.0,14267.0,-1.26,-0.76,-0.00322845,0,0
90,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-29,AU,,389.52,389.02,389.38,394.44,387.42,391.26,390.24,5009.0,1954810940.0,14750.0,1.74,0.72,0.00446704,0,0
91,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-01,AU,,390.24,391.26,393.7,396.12,389.58,395.22,393.02,11291.0,4437657480.0,15945.0,4.98,2.78,0.01276138,0,0
92,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-02,AU,,393.02,395.22,395.88,396.84,391.68,392.32,394.52,6434.0,2538367420.0,15578.0,-0.7,1.5,-0.00178108,0,0
93,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-03,AU,,394.52,392.32,389.86,389.96,386.06,387.72,387.82,3652.0,1416364520.0,15367.0,-6.8,-6.7,-0.01723614,0,0
94,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-04,AU,,387.82,387.72,387.56,388.08,382.44,385.0,384.6,9219.0,3545671740.0,15204.0,-2.82,-3.22,-0.00727141,0,0
95,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-05,AU,,384.6,385.0,383.94,384.28,377.88,380.36,380.48,3890.0,1480144860.0,15076.0,-4.24,-4.12,-0.01102444,0,0
96,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-08,AU,,380.48,380.36,381.4,385.0,379.26,383.62,382.32,4596.0,1757196460.0,14980.0,3.14,1.84,0.00825273,0,0
97,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-09,AU,,382.32,383.62,385.46,388.78,384.34,388.04,386.98,3766.0,1457383500.0,14785.0,5.72,4.66,0.01496129,0,0
98,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-10,AU,,386.98,388.04,388.04,389.28,386.08,388.44,387.94,3314.0,1285683820.0,14556.0,1.46,0.96,0.0037728,0,0
99,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-18,AU,,387.94,388.44,378.44,378.44,375.52,377.0,376.58,2045.0,770136620.0,14259.0,-10.94,-11.36,-0.02820024,0,0
100,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-19,AU,,376.58,377.0,377.62,379.28,373.64,375.52,376.4,9734.0,3663885660.0,13779.0,-1.06,-0.18,-0.00281481,0,0
101,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-22,AU,,376.4,375.52,375.42,380.64,375.18,379.84,378.48,7225.0,2734612060.0,13374.0,3.44,2.08,0.00913921,0,0
102,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-23,AU,,378.48,379.84,379.9,384.58,379.9,383.6,382.84,5416.0,2073467120.0,12752.0,5.12,4.36,0.0135278,0,0
103,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-24,AU,,382.84,383.6,383.58,383.7,379.98,382.56,382.24,10025.0,3832083840.0,12470.0,-0.28,-0.6,-0.00073138,0,0
104,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-25,AU,,382.24,382.56,381.24,381.74,376.72,378.66,379.14,13241.0,5020230120.0,12034.0,-3.58,-3.1,-0.00936584,0,0
105,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-02-26,AU,,379.14,378.66,377.98,378.12,371.46,372.099,374.38,12852.0,4811690420.0,11815.0,-7.041,-4.76,-0.01857098,0,0
106,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-01,AU,,374.38,372.1,371.94,373.76,363.2,370.98,370.44,13650.0,5056751260.0,11863.0,-3.4,-3.94,-0.00908168,0,0
107,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-02,AU,,370.44,370.98,367.98,369.2,361.2,364.8,365.32,18272.0,6675375180.0,12399.0,-5.64,-5.12,-0.01522514,0,0
108,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-03,AU,,365.32,364.8,367.02,367.84,364.62,366.52,366.04,10098.0,3696442660.0,11763.0,1.2,0.72,0.00328479,0,0
109,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-04,AU,,366.04,366.52,364.92,365.12,360.3,363.16,362.62,10913.0,3957431380.0,12973.0,-2.88,-3.42,-0.00786799,0,0
110,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-05,AU,,362.62,363.16,363.6,364.56,357.44,359.36,361.0,11146.0,4023882560.0,14502.0,-3.26,-1.62,-0.00899013,0,0
111,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-08,AU,,361.0,359.36,360.86,364.88,358.66,363.02,362.3,10511.0,3808159160.0,15817.0,2.02,1.3,0.00559557,0,0
112,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-09,AU,,362.3,363.02,361.3,362.3,358.16,361.72,360.5,8908.0,3211408180.0,15710.0,-0.58,-1.8,-0.00160088,0,0
113,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-10,AU,,360.5,361.72,363.46,367.56,363.3,365.24,365.74,12229.0,4472869580.0,16502.0,4.74,5.24,0.0131484,0,0
114,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-11,AU,,365.74,365.24,365.1,369.54,364.88,368.62,366.82,10696.0,3923679160.0,17114.0,2.88,1.08,0.00787445,0,0
115,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-12,AU,,366.82,368.62,368.78,368.82,363.0,363.34,365.78,11111.0,4064245340.0,16563.0,-3.48,-1.04,-0.00948694,0,0
116,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-15,AU,,365.78,363.34,363.4,368.64,361.1,366.66,364.42,7862.0,2865137520.0,15779.0,0.88,-1.36,0.00240582,0,0
117,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-16,AU,L4,364.42,366.66,368.02,368.64,365.78,367.06,367.52,8431.0,3098659540.0,15179.0,2.64,3.1,0.00724439,0,0
118,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-17,AU,L4,367.52,367.06,367.5,369.94,366.98,368.0,368.08,9910.0,3647869960.0,16208.0,0.48,0.56,0.00130605,0,0
119,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-18,AU,L4,368.08,368.0,366.86,372.08,365.8,371.5,369.36,9543.0,3524886980.0,16718.0,3.42,1.28,0.00929146,0,0
120,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-03-19,AU,L4,369.36,371.5,367.52,370.68,365.14,369.5,367.48,11536.0,4239263840.0,16848.0,0.14,-1.88,0.00037903,0,0
