===============================================================================
Id,brf,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Value,len,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
95,brf,95,2021-02-04 00:00:00,387.56,388.08,382.44,385.0,9219.0,0.0,MyStrategy,95,737825.0,Value,95,199535.30072999978,BuySell,95,391.68180916666665,,Trades - Net Profit/Loss,95,37.631600000014146,,DrawDown,95,0.5729398631699824,0.6377253885065446
96,brf,96,2021-02-05 00:00:00,383.94,384.28,377.88,380.36,3890.0,0.0,MyStrategy,96,737826.0,Value,96,198945.4613299998,BuySell,96,390.21978,,Trades - Net Profit/Loss,96,,,DrawDown,96,0.866852756178463,0.866852756178463
97,brf,97,2021-02-08 00:00:00,381.4,385.0,379.26,383.62,4596.0,0.0,MyStrategy,97,737829.0,Value,97,199369.26132999978,BuySell,97,,,Trades - Net Profit/Loss,97,,,DrawDown,97,0.6556761476694497,0.866852756178463
98,brf,98,2021-02-09 00:00:00,385.46,388.78,384.34,388.04,3766.0,0.0,MyStrategy,98,737830.0,Value,98,199943.86132999978,BuySell,98,,,Trades - Net Profit/Loss,98,,,DrawDown,98,0.36935694226764787,0.866852756178463
99,brf,99,2021-02-10 00:00:00,388.04,389.28,386.08,388.44,3314.0,0.0,MyStrategy,99,737831.0,Value,99,199995.86132999978,BuySell,99,,,Trades - Net Profit/Loss,99,,,DrawDown,99,0.3434457019597928,0.866852756178463
100,brf,100,2021-02-18 00:00:00,378.44,378.44,375.52,377.0,2045.0,0.0,MyStrategy,100,737839.0,Value,100,198508.66132999977,BuySell,100,,,Trades - Net Profit/Loss,100,,,DrawDown,100,1.0845071747644546,1.0845071747644546
101,brf,101,2021-02-19 00:00:00,377.62,379.28,373.64,375.52,9734.0,0.0,MyStrategy,101,737840.0,Value,101,198624.27552999978,BuySell,101,,377.43119,Trades - Net Profit/Loss,101,,-1321.5005000000003,DrawDown,101,1.0268974186259796,1.0845071747644546
102,brf,102,2021-02-22 00:00:00,375.42,380.64,375.18,379.84,7225.0,0.0,MyStrategy,102,737843.0,Value,102,197879.4274299998,BuySell,102,,376.6118883173077,Trades - Net Profit/Loss,102,,,DrawDown,102,1.3980500746249913,1.3980500746249913
103,brf,103,2021-02-23 00:00:00,379.9,384.58,379.9,383.6,5416.0,0.0,MyStrategy,103,737844.0,Value,103,197121.8274299998,BuySell,103,,377.15533700000003,Trades - Net Profit/Loss,103,,,DrawDown,103,1.7755569141871295,1.7755569141871295
104,brf,104,2021-02-24 00:00:00,383.58,383.7,379.98,382.56,10025.0,0.0,MyStrategy,104,737845.0,Value,104,197061.8274299998,BuySell,104,383.7,,Trades - Net Profit/Loss,104,,-1476.8885999999998,DrawDown,104,1.8054544991577315,1.8054544991577315
105,brf,105,2021-02-25 00:00:00,381.24,381.74,376.72,378.66,13241.0,0.0,MyStrategy,105,737846.0,Value,105,196467.70342999982,BuySell,105,382.56531,,Trades - Net Profit/Loss,105,,,DrawDown,105,2.1015023787089553,2.1015023787089553
106,brf,106,2021-02-26 00:00:00,377.98,378.12,371.46,372.099,12852.0,0.0,MyStrategy,106,737847.0,Value,106,195155.5034299998,BuySell,106,,,Trades - Net Profit/Loss,106,,,DrawDown,106,2.755362562016028,2.755362562016028
107,brf,107,2021-03-01 00:00:00,371.94,373.76,363.2,370.98,13650.0,0.0,MyStrategy,107,737850.0,Value,107,195080.9512299998,BuySell,107,,371.75403,Trades - Net Profit/Loss,107,,-2015.3179999999952,DrawDown,107,2.792511407586786,2.792511407586786
108,brf,108,2021-03-02 00:00:00,367.98,369.2,361.2,364.8,18272.0,0.0,MyStrategy,108,737851.0,Value,108,195843.1926299998,BuySell,108,,370.368723,Trades - Net Profit/Loss,108,,,DrawDown,108,2.4126917905099416,2.792511407586786
109,brf,109,2021-03-03 00:00:00,367.02,367.84,364.62,366.52,10098.0,0.0,MyStrategy,109,737852.0,Value,109,195499.1926299998,BuySell,109,,,Trades - Net Profit/Loss,109,,,DrawDown,109,2.58410461100806,2.792511407586786
110,brf,110,2021-03-04 00:00:00,364.92,365.12,360.3,363.16,10913.0,0.0,MyStrategy,110,737853.0,Value,110,196171.1926299998,BuySell,110,,,Trades - Net Profit/Loss,110,,,DrawDown,110,2.2492516593373173,2.792511407586786
111,brf,111,2021-03-05 00:00:00,363.6,364.56,357.44,359.36,11146.0,0.0,MyStrategy,111,737854.0,Value,111,196931.1926299998,BuySell,111,,,Trades - Net Profit/Loss,111,,,DrawDown,111,1.870548916376358,2.792511407586786
112,brf,112,2021-03-08 00:00:00,360.86,364.88,358.66,363.02,10511.0,0.0,MyStrategy,112,737857.0,Value,112,196199.1926299998,BuySell,112,,,Trades - Net Profit/Loss,112,,,DrawDown,112,2.235299453017703,2.792511407586786
113,brf,113,2021-03-09 00:00:00,361.3,362.3,358.16,361.72,8908.0,0.0,MyStrategy,113,737858.0,Value,113,196459.1926299998,BuySell,113,,,Trades - Net Profit/Loss,113,,,DrawDown,113,2.1057432514784273,2.792511407586786
